#,Status,PA NUMBER,NATIONAL NUMBER,AREA,PLANT LOCATION,PSI/CFM,Relief valve Model #,Thread Size (in),PR1 EQUIP. #,PRS EQUIP. #,TECH I.D.,MFG. INFORMATION,Cert. Expiration,NEEDS INSPECTION,Zurich Match,Latitude,Longitude
,Not in system,-,855896,BULK SILOS,SCALE #1 SOUTH EAST DRYER RIGHT SIDE,,,,,,,,,,,,
,Not in system,-,855907,BULK SILOS,SCALE #1 SOUTH EAST DRYER LEFT SIDE,,,,,,,,,,,,
,Not in system,PA698036V,2748719,BULK SILOS,SILO 38 HIGH BANK D/C,,,,,,,,,,,,
,Not in system,,,BULK SILOS,SCALE #4 D/C,,,,,,,,,,,,
,Not in system,,130112,PACK HOUSE,SOUTH WALL DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,130115,PACK HOUSE,SOUTH WALL DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,150802,PACK HOUSE,NORTH WALL DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,150803,PACK HOUSE,NORTH WALL DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,149066,PACK HOUSE,NORTH WALL COMPRESSOR BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,131235,PACK HOUSE,SOUTH WALL EAST DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,129810,PACK HOUSE,SOUTH WALL WEST DRYER BEHIND CONTROL ROOM,,,,,,,,,,,,
,Not in system,,378886,CLR BAGHOUSE,NORTH COMPRESSOR 1,,,,,,,,,,,,
,Not in system,,383668,CLR BAGHOUSE,SOUTH COMPRESSOR 2,,,,,,,,,,,,
,Not in system,,,PLANT AIR,NROTH WALL FLUID PUMP COMPRESSOR,,,,,,,,,,,,
,Not in system,,,FINISH MILLS,BREEZEWAY FM BLDG.,,,,,,,,,,,,
,Not in system,,,PACK HOUSE,NORTH WALL BY COMPRESSORS,,,,,,,,,,,,
,Not in system,,,FINISH MILLS,FM3 SEPARATOR ,,,,,,,,,,,,
